0,1
0,1
0,2
0,3
0,4
0,5
0,6
1,3
1,6
2,4
2,5
3,5
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,18
3,19
3,20
3,21
3,25
3,26
3,27
4,6
4,28
4,29
4,30
4,31
5,6
5,7
6,7
6,10
6,12
6,18
6,22
6,25
6,29
7,14
7,30
7,32
7,33
7,34
8,9
8,10
8,11
8,12
8,13
8,20
8,22
8,24
8,26
8,35
8,36
8,37
8,38
8,40
8,41
8,44
8,45
9,12
9,14
9,20
9,24
9,27
9,40
9,44
9,49
9,50
9,51
10,11
10,12
10,15
10,16
10,19
10,21
10,36
10,37
10,38
10,53
10,54
11,12
11,13
11,14
11,17
11,20
11,21
11,26
11,27
11,29
11,46
12,13
12,15
12,18
12,23
12,24
12,36
12,39
12,43
12,45
12,46
12,52
12,53
12,54
12,56
12,57
13,17
13,35
13,39
13,41
13,42
13,43
13,46
13,58
14,25
14,26
14,32
15,16
15,54
17,46
19,55
19,59
20,39
20,47
20,48
21,23
22,25
23,27
23,36
23,46
23,57
24,26
24,39
24,46
24,60
26,39
26,44
26,46
27,39
27,40
27,46
27,57
28,61
28,62
30,32
30,59
30,63
30,64
30,66
30,67
30,68
30,69
30,71
30,72
30,73
30,74
30,75
30,76
31,48
31,59
31,65
31,66
31,67
31,68
31,71
31,77
32,34
32,48
32,50
32,59
32,81
32,82
32,83
32,84
33,59
33,62
33,64
33,65
33,66
33,67
33,68
33,70
33,71
33,72
33,77
33,84
33,100
34,61
34,62
34,82
35,36
36,38
36,52
36,53
37,38
37,39
37,42
37,43
37,52
37,53
37,56
38,46
39,41
39,43
39,44
39,53
39,57
39,60
40,46
40,56
40,57
41,42
41,46
42,55
44,46
45,46
45,80
46,56
46,57
47,48
47,58
48,58
48,68
50,51
50,81
50,82
51,81
52,53
52,79
55,58
56,79
59,67
59,68
60,68
61,62
61,64
61,65
61,68
61,70
61,73
61,74
61,75
61,76
61,92
61,93
61,94
61,95
61,97
62,64
62,65
62,66
62,69
62,70
62,74
62,77
62,78
62,93
62,94
62,95
62,102
63,81
63,82
63,98
63,99
64,67
64,81
64,95
65,66
65,67
65,71
65,76
65,90
65,92
65,96
65,97
65,102
65,103
65,104
66,67
66,69
66,71
66,73
66,76
66,78
66,93
66,101
66,104
67,68
67,69
67,71
67,102
68,72
68,73
68,74
69,73
69,78
69,92
71,73
72,73
72,92
72,101
73,74
73,76
73,86
73,88
73,91
73,93
73,94
73,96
73,100
73,101
73,103
74,75
74,86
74,87
74,91
74,92
74,94
75,76
75,103
76,85
76,89
76,92
76,95
78,92
78,95
78,104
80,90
80,103
81,83
81,84
82,83
83,99
85,88
85,89
86,88
86,89
87,90
88,89
88,92
91,92
91,103
92,104
93,94
96,97
96,103
97,100
98,99
101,104
