   (5,1)        1
   (7,2)        1
  (10,4)        1
  (12,4)        1
  (14,4)        1
  (28,4)        1
   (1,5)        1
   (6,5)        1
  (30,5)        1
   (5,6)        1
   (7,6)        1
   (8,6)        1
   (2,7)        1
   (6,7)        1
   (6,8)        1
  (34,8)        1
  (14,9)        1
  (24,9)        1
  (25,9)        1
  (38,9)        1
  (44,9)        1
  (46,9)        1
   (4,10)       1
  (45,10)       1
  (20,11)       1
  (22,11)       1
   (4,12)       1
  (28,12)       1
  (16,13)       1
  (41,13)       1
  (53,13)       1
   (4,14)       1
   (9,14)       1
  (36,14)       1
  (13,16)       1
  (11,20)       1
  (40,21)       1
  (48,21)       1
  (49,21)       1
  (11,22)       1
  (40,23)       1
   (9,24)       1
  (28,24)       1
  (36,24)       1
   (9,25)       1
  (61,27)       1
   (4,28)       1
  (12,28)       1
  (24,28)       1
  (47,28)       1
   (5,30)       1
  (62,31)       1
  (64,31)       1
  (69,31)       1
  (73,31)       1
  (76,31)       1
  (77,31)       1
  (49,32)       1
  (50,33)       1
  (51,33)       1
   (8,34)       1
  (83,35)       1
  (14,36)       1
  (24,36)       1
   (9,38)       1
  (43,38)       1
  (54,38)       1
  (47,39)       1
  (53,39)       1
  (21,40)       1
  (23,40)       1
  (42,40)       1
  (58,40)       1
  (13,41)       1
  (40,42)       1
  (38,43)       1
   (9,44)       1
  (10,45)       1
  (47,45)       1
   (9,46)       1
  (28,47)       1
  (39,47)       1
  (45,47)       1
  (21,48)       1
  (49,48)       1
  (59,48)       1
  (21,49)       1
  (32,49)       1
  (48,49)       1
  (33,50)       1
  (33,51)       1
  (83,51)       1
  (13,53)       1
  (39,53)       1
  (38,54)       1
  (80,54)       1
  (40,58)       1
  (48,59)       1
  (27,61)       1
  (31,62)       1
  (64,62)       1
  (66,62)       1
  (74,62)       1
  (77,62)       1
  (94,62)       1
  (97,62)       1
  (74,63)       1
  (31,64)       1
  (62,64)       1
  (99,64)       1
  (96,65)       1
  (62,66)       1
  (72,66)       1
  (73,66)       1
  (97,66)       1
  (70,67)       1
  (72,67)       1
  (94,67)       1
  (69,68)       1
  (31,69)       1
  (68,69)       1
  (67,70)       1
  (66,72)       1
  (67,72)       1
  (74,72)       1
  (31,73)       1
  (66,73)       1
  (74,73)       1
 (102,73)       1
  (62,74)       1
  (63,74)       1
  (72,74)       1
  (73,74)       1
  (95,74)       1
  (98,74)       1
 (101,74)       1
  (87,75)       1
  (95,75)       1
 (101,75)       1
  (31,76)       1
  (77,76)       1
  (31,77)       1
  (62,77)       1
  (76,77)       1
  (87,77)       1
  (54,80)       1
  (84,82)       1
  (35,83)       1
  (51,83)       1
  (82,84)       1
  (75,87)       1
  (77,87)       1
  (91,88)       1
  (90,89)       1
  (93,89)       1
  (89,90)       1
  (88,91)       1
  (93,92)       1
 (104,92)       1
  (89,93)       1
  (92,93)       1
  (97,93)       1
  (62,94)       1
  (67,94)       1
  (74,95)       1
  (75,95)       1
  (65,96)       1
  (62,97)       1
  (66,97)       1
  (93,97)       1
 (104,97)       1
  (74,98)       1
  (64,99)       1
  (74,101)      1
  (75,101)      1
  (73,102)      1
  (92,104)      1
  (97,104)      1
