  (41,1)        1
  (55,2)        1
  (10,7)        1
  (57,7)        1
  (58,7)        1
  (20,8)        1
  (41,8)        1
  (55,8)        1
   (7,10)       1
  (58,10)       1
  (48,11)       1
  (42,14)       1
  (58,14)       1
  (34,15)       1
  (39,15)       1
  (19,16)       1
  (46,16)       1
  (39,17)       1
  (28,18)       1
  (16,19)       1
   (8,20)       1
  (31,20)       1
  (48,21)       1
  (51,21)       1
  (38,22)       1
  (52,24)       1
  (18,28)       1
  (31,29)       1
  (20,31)       1
  (29,31)       1
  (48,31)       1
  (15,34)       1
  (51,34)       1
  (38,37)       1
  (22,38)       1
  (37,38)       1
  (15,39)       1
  (17,39)       1
  (44,39)       1
   (1,41)       1
   (8,41)       1
  (14,42)       1
  (51,43)       1
  (39,44)       1
  (54,44)       1
  (16,46)       1
  (50,47)       1
  (11,48)       1
  (21,48)       1
  (31,48)       1
  (47,50)       1
  (21,51)       1
  (34,51)       1
  (43,51)       1
  (24,52)       1
  (44,54)       1
   (2,55)       1
   (8,55)       1
   (7,57)       1
   (7,58)       1
  (10,58)       1
  (14,58)       1
